index,oh_label,Date,Text
91,0,,"""They should put all the gay and lesbians on an island\\xe2\\x80\\xa6\\xc2\\xa0 Oh wait there is Manhattan. """
92,0,20120610020958Z,"""YOLO. This is hilarious. Canyon students are so racist! Even though most of us are Mexican! Fuck gabby!"""
93,1,20120502203704Z,"""Lets see your papers arealconservati.\n\nTill then shut the fuuk up sticky-chin."""
94,0,,"""An interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion.\\xc2\\xa0 You all aren't victims of religious oppression.\\xc2\\xa0 You are the oppressors.\\xc2\\xa0 BTW, i'm not gay.\\xc2\\xa0 I just love how you people try to defend your persecution of others while claiming your are being persecuted."""
95,1,,"""Correction Bitch! You don't think it's superb because your hating ass doesn't know talent..And Again I am still waiting on you to submit a video of you singing..Where is the youtube link? I am sure you will get all kinds of rave reviews lol"""
96,1,20120611215519Z,"""I think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg.   Go back to sleep, we will wake you when you are needed again."""
97,1,20120515142854Z,"""And you keep on your knees and keep telling yourself that is a sausage in your mouth.\xa0 And that is cream cheese you are swallowing."""
98,0,20120620125953Z,"""What was that, like 2000 words about nothing? You're going after Andrea Mitchell? What, was Fox infomercial not broadcasting yesterday? How about the apologies issued for the ""EPA drones""? And yet here you are attacking Andrea Mitchell about some stupid gas station gimmick.\n\nHere's another newsflash for you, Mr. Romney (R1%) is out of touch. We all already know it. Mr. Romney's amazement wasn't just about some gadget at a ""petrol filling post"" but that people could actually buy food products there and that they actually eat it.\n\nThis very second Mr. Romney isn't even carrying a wallet. And it is very likely that he doesn't even know where it is. I'm still waiting for someone to ask him the tough campaign trail question of ""how much does a gallon of milk cost?"".\n\nAndrea Mitchell and gas station food... unbelievable."""
99,0,20120619032603Z,"""@Rourke needs to give me a fucking like\xa0\xa0@jwoude23\xa0hows everyone doin?"""
100,1,20120514051227Z,"""fuck you both"""
101,0,20120619182936Z,"""Powers,\n\nMSNBC Is far far more biased and hostile in it's comments than FOX. At least at FOX there are usually opposing views. MSNBC is just a shill for the president. And they keep having to fire their hosts for all the outrageous remarks they make.\n\nNow, CNN is getting almost as bad as MSNBC."""
102,0,20120527213608Z,"""What horrible trades are you talking about?"""
103,1,20120320212724Z,"""and retards like you back to the institutions."""
104,0,20120610004410Z,"""weapons lol hes an idiot an waste of human space had it made and ruined it all"""
105,0,20120529210906Z,"""Not a big fan of Rondo, but the dude can ball...I wouldn't classify him as a big talker, just trying to psyche himself up..."""
106,1,20120619190700Z,"""Pig Maher, you forgot your meds again. You know you are one sick SOB so don't forget."""
107,0,20120611201812Z,"""It's not just the rich screaming about taxes.\xa0 It's the average middle class American who pays his/her taxes and doesn't see the benefit of those taxes (but instead sees waste).\xa0 I pay federal taxes, but I don't use public schools, I'm not collecting any govt welfare or benefits, I pay for my own healthcare etc.\xa0 I use the roads and sewers, so I don't mind paying the city taxes\xa0for that.\xa0 My trash pick up is private, so I pay that directly to the trash company.\xa0\xa0Everyone should pay for what they\xa0'use', not\xa0based on what they make.\xa0\xa0If\xa0one wants to be a part of society, one should\xa0contribute and pay their fair share.\xa0 That includes the rich or poor."""
108,1,20120320095936Z,"""Mr. King isn't it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you."""
109,0,20120619203524Z,"""I'm amused by the fact that WeBlog cons drop any issue once it turns into a loser.\n\nThis is an expression of that amusement."""
110,0,,"""Gabriel.\\xc2\\xa0 \\xc2\\xa0Getting time to blow that horn?"""
111,0,20120529153517Z,"""Exactly. Like, I don't really give a shit how fat a person may or may not feel, but it really is shitty when your clothes don't fit. And not in a ""I'm so gross"" way but in a ""I can't very well leave the house naked!!"" way."""
112,0,20120619204714Z,"""Welfare queen into a whore, not a crack whore. \xa0I think a whore is a more productive worker than a welfare queen."""
113,0,20120611235119Z,"""POLITICAL CORRECTNESS:\n\nPolitical Correctness is a doctrine, fostered by a delusional, illogical minority, and rapidly promoted by an unscrupulous lamestream media, which holds forth the proposition that it is entirely possible to pick up a piece of ch*t \xa0by the clean end."""
114,1,20120620063410Z,"""What an ass you are...funny I see a lot more of you ""nuts"" in cars then I ever have of pilots in panes..."""
115,1,20120530113926Z,"""You can take international law and\xa0 shove it. You are such a schmuck, I don t know why I even comment on your idiotic posts. The ""peace activists"" on the ship started hitting the soldiers with weapons in order to kill the."""
116,0,20120612023024Z,"""Blown is  a little pissy after he applied for a union job and was turned down.  He is just another good republican minion spreading today's message."""
117,0,20120619224557Z,"""If you dont have a teleport and air-mix ups ""you are nothing to me"""""
118,0,,"""stop trying to sound like a victim bitches dont understand men dont have the same temper and not the same thoughts go through ur mind than ours.. u put a nigga on da spot get up in his face and start throwing yo stank breath on us believe me u got it coming yal go no right period"""
119,0,20120610065027Z,"""robert moroni you fuckin dimwit, do you know what a parody is? It's a fuckin parody of fox news and it sounds accurate to me!"""
120,1,20120514051108Z,"""The most evil, callous, vile, creature in all of mythology is your made up god. Stop killing and eating babies, you dirty christard!"""
121,0,20120620181659Z,"""Oops! \xa0How embarrassing (for me)... you are right People1st... I bow to the superior movie intellect of your son :)"""
122,0,20120612031614Z,"""If you throw trash out your window, you get a yellow star bumper sticker."""
123,0,,"""Once more we see where the soft immigration policy has let the citizens down.... I bet they come from a family who have less education than a retarded hampster yet were given a nice new life in Britain... Reap what you sow...."""
124,0,,"""Nope. Not working for me either.32-23-34www.facebook.com/annagillmodel\\n\\n \\n\\nYou have my email! :) """
125,0,20120514051012Z,"""That jump shooting bit gets old.  When you don't get calls on contact and get your shot thrown off you look for separation and you jump shoot.  Especially if you ain't big, which is most teams because bigs and longs are rare/expensive at pro level."""
126,0,20120528033457Z,"""""This was a tough loss for us, right now there are guys blowing each other in the locker room.""\n\n-Scott Brooks"""
127,1,20120320210420Z,"""You're a complete and utter moron."""
128,1,20120528221848Z,"""Your still a loser, man we must have really gotten under your skin lol"""
129,0,,"""The ignorance here is astounding. Clearly it says in the video that Cleveland was ALREADY convicted of rape and is serving jail time for it. He\\'s GUILTY. She WAS RAPED!! (for all of the morons who\\'ve said ugly statements about her or attacked the veracity of her story) The only determination that this court is trying to make is whether Cash Money should be held liable. I think it\\'s reasonable that when you invite someone to make a professional presentation at YOUR company that YOU provide necessary protections for that individual. I don\\'t care whether Cleveland was employed or just ""a hanger-on"" a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with Baby and Slim\\'s knowledge and permission. If you went to a store and were attacked by an employee or a ""friend of the boss"" (who was permitted to hang around premises), would you not hold the company responsible?\\xc2\\xa0"""
130,0,20120620153735Z,"""Fuck hard, then fuck slow, then fuck hard, and then start again."""
131,0,20120529130655Z,"""@Axlrodes\xa0Were you here for the Wide Receiver drama?"""
132,0,20120611211947Z,"""are you fucking kidding me no mirrors fuck you freesteam"""
133,1,20120618200449Z,"""Nothing was confirmed in the 19th century you moron. There was no modern medical science to prove ANYTHING. Dont try to quote from the same period of time that brought us the Spanish Inquisition. You are the lowest of the low, i feel sorry for you."""
134,1,20120619175937Z,"""My best friend who is allergic to wheat, corn, soy, red dye, yellow dye, pistachios, tree nuts, kiwis, cherries, oranges, bananas, and seafood. If she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath. Last week she got cut by a dog leash that had pistachios on it and almost went into anaphylactic. I know a little about food allergies.\xa0\n\nI asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die. She said you are a bitch. So I do not really think it is insulting that she wants food allergies so she can die. I think we're back to you're a bitch."""
135,0,20120527182916Z,"""So not focusing on Boston vs Miami for a minute.... Who's the scarier opponent, SanAn or OKC?"""
136,1,20120610162400Z,"""floyd has a better knock out percentage than pacman you dumb fuuuuck"""
137,0,20120612082854Z,"""so wat have u bn doing all along if u want to train them nw.we thot yo presence must strengthen the strike force bt proving otherws.shame!!!!!!!!!!!!!!!!!!!"""
138,0,20120619014349Z,"""The Dean of Mean is a typical Tory who believes there's one law for him and another one for everyone else.\nBig Steve better get around to firing everyone at Elections Canada and replacing them with Tory hacks before they really get into what the Tories did in the 2011 campaign."""
139,0,,"""Oh fab - we have a tennis player who has a sense of humour and who can smile. Mr Murray please note. Mind you he has left it too late to cheer up. Misery guts"""
140,0,20120609183518Z,"""You are repeating yourself, mate."""
141,1,20120612083701Z,"""You are one sick puppy."""
142,0,20120620155324Z,"""Very true, indeed! I've tried to sit down and study for hours straight without any breaks and I'm not nearly as effective as when I take a few breaks."""
143,0,20120611013005Z,"""so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga"""
144,1,20120611204143Z,"""Can I say dick on here?\nYour a dick."""
145,0,20120611171123Z,"""@niemerg1 Right.\xa0 Never said it was fool proof tho."""
146,0,20120609231913Z,"""The wonders of PLASTIC SURGERY <3"""
147,0,20120611173531Z,"""Ron Paul / Cynthia Mckinney 2012\nThe all Wacko ticket!\nCalling all Paul sheep to the barn for your daily feeding. Don't forget your wallet!"""
148,0,,"""go on move to hollywood, join russell brand and take dan lobe with you"""
149,1,,"""The way this fucking hoodrat is standing in that picture is boiling my blood. I'd like to meet this cunt in an alley for a few minutes. Selfish fucking twat."""
150,0,,"""hahaha today a group of Argentine veterans from the Falklands war beat the crap out of a senator of the peronist party, the party in power right now, for using them for political purposes. The people in Argentina are getting tired of this ""show"" the politicians are doing to distract the Argentine population from other far more important problems."""
151,0,20120527181201Z,"""We afford what we HAVE to afford, Marco."""
152,0,20120618223658Z,"""Hey moron ""buttons1994"", Kerry won't be able to bully Obama like Romney bullied a gay boy when he was in prep school by physically assaulting him.\n\nBut the clown Romney won't be able to bully Obama in a debate either, so it's a wash."""
153,0,20120610043304Z,"""and like it matters, you are waiting for next year...I am still living in the playoffs...suck on it loser"""
154,0,,"""Should have hung for what he did, this country is all for the monsters that lurk among us!!!"""
155,0,20120618200244Z,"""@Childerz\xa0\xa0@koosh12684\xa0\xa0@jwoude23\xa0\xa0@welfarecheese\xa0\xa0@SDL\xa0\xa0@Nonstopdrivel\xa0\n\xa0\nRight on. As long as we are both open and honest about how we come to our own conclusions, I couldn't give a shit if we disagree."""
156,0,20120619001635Z,"""they are pecking him to death he gives up ugly runs"""
157,0,,"""@Blaine Jungwirth definitely thought that only deserved a 2, but hey, I takes what I gets!"""
158,0,20120620142254Z,"""I can't trend I'm on my iPod touch"""
159,0,20120612020610Z,"""This was the JOINT back in the day!\n\nAnd am I the only one who thought Gregory looked like he could be Philip Michael Thomas' brother?  LOL"""
160,1,20120503001924Z,"""How old are u 12? \n\nKnicks fan BEEYATCH!!!\n\nNot a Melo ball licker!!!"""
161,0,20120529224055Z,"""Anything better than the Grover Norquist, Tea party, Wall Street, corporatist GOP."""
162,1,20120619195231Z,"""BITCH NIGGA YOU NEED AN EYE EXAM, AND EYE GLASSES! CASSIE ONE OF THE FINEST WOMEN ON EARTH!"""
163,0,20120609235433Z,"""Are you attempting to be kinky here?\xa0 You have some kind of fetish?"""
164,0,20120618204044Z,"""You get the gold star!The best post I've seen on here in months!!Hilarious...Great job,Canadian!PS I think we need you to come down here.I'll sponsor you!!"""
165,0,20120530024237Z,"""How old are you?"""
166,1,20120612051753Z,"""Nothing worse then a idi0t who smugs because of who he is, Gay"""
167,1,20120528043620Z,"""You're a child rapist in NY. You have admitted it MANY times you sick fuck! You have no room to talk."""
168,0,20120529130729Z,"""@J.O. \xa0 The man was a genius."""
169,1,20120611235146Z,"""Anti American piece of-shit you are"""
170,1,20120502165117Z,"""Have you be sipping at th e sacramental wine again?\n\nYou really are a dense little dude."""
171,0,20120529093527Z,"""Yes but remember - the government is listening to the views of the owner of Wonga.\n\nWonga will loan your business\xa0money (at astonomical rates)"""
172,0,20120530054153Z,"""The tirade isn't what people caused people to dislike her.  Read her comments.  Like this one, ""I know of her story and her husband. We all have stories. I mean, I almost died, and Venus is struggling herself. So, you know, it's life. "" \n\nShe comes across as uncaring and selfish.  On top of that she never gives an opponent any credit--it's always about what SHE did.\n\nI absolutely like Venus--consistently root for her and have for years--but Serena is an absolutely awful person that needs to grow up"""
173,0,,"""Stacy C. is right - Dumbama and his fat-ass wife and their cronies have created this atmosphere of govt. interference and what they feel govt entities should be doing.\\xc2\\xa0 Schools and others take their cues from the top down, and when they see this admin. forcing restaurants to publish calories on menus, then they feel they should be doing ""their part"" for their messiah and become food police.\\xc2\\xa0 I cannot believe that a school puts out an approved food list.\\xc2\\xa0\\xc2\\xa0I would be suing.\\xc2\\xa0"""
174,0,20120529113543Z,"""GALLUP DAILY\nMay 24-26, 2012 \u2013 Updates daily at 1 p.m. ET; reflects one-day change\nNo updates Monday, May 28; next update will be Tuesday, May 29.\nObama Approval48%-\nObama Disapproval45%-1\nPRESIDENTIAL ELECTION\nObama47%-\nRomney45%-\n7-day rolling average\n\n It seems the bump Romney got is over and the president is on his game."""
175,0,20120612120924Z,"""This is someone whose self-importance got the best of him. If anyone should be fired it would be Tate. This kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand."""
176,0,20120530113019Z,"""Don't stand on your porch."""
177,0,20120528204226Z,"""camp has got to come in here and get this guy. this is where you earn your money."""
